id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ trong phiên bản 2026.1 so với phiên bản trước đó [2].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Mọi thông tin trong answer đều có trong retrieved chunks,5,"Answer trả lời trực tiếp và đầy đủ câu hỏi, cung cấp thông tin cụ thể về sự thay đổi SLA từ 6 giờ xuống 4 giờ.",5,Retrieved: 1/1 expected sources,4,No reasoning provided,baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn có thể kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Mọi thông tin trong answer đều có trong retrieved chunks,5,Answer trả lời trực tiếp và đầy đủ câu hỏi về số lượng thiết bị có thể kết nối VPN khi làm việc remote.,5,Retrieved: 2/2 expected sources,3,No reasoning provided,baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền, vì sản phẩm đã áp dụng mã giảm giá đặc biệt và đã được kích hoạt [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,Answer trả lời trực tiếp và đầy đủ câu hỏi về việc hoàn tiền cho đơn hàng trong chương trình Flash Sale.,5,Retrieved: 1/1 expected sources,4,No reasoning provided,baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit, bạn sẽ được 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,"Answer trả lời trực tiếp và đầy đủ câu hỏi, cung cấp thông tin chính xác về tỷ lệ store credit so với số tiền gốc.",5,Retrieved: 1/1 expected sources,4,No reasoning provided,baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Tôi không biết.,"Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"Câu trả lời không cung cấp thông tin nào từ context và thể hiện sự không chắc chắn, không có cơ sở từ thông tin đã cho.",1,Câu trả lời không cung cấp thông tin nào liên quan đến câu hỏi và chỉ đơn giản là không biết.,5,Retrieved: 1/1 expected sources,1,No reasoning provided,baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời trong sự cố P1 như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,Câu trả lời trả lời trực tiếp và đầy đủ câu hỏi về quy trình cấp quyền tạm thời và thời gian tồn tại của quyền này.,5,Retrieved: 2/2 expected sources,4,No reasoning provided,baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,Câu trả lời không cung cấp thông tin nào từ context và hoàn toàn không grounded.,1,Câu trả lời không cung cấp thông tin nào liên quan đến mức phạt nếu team IT vi phạm cam kết SLA P1.,,No expected sources,1,No reasoning provided,baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [3]. Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp, cần giấy tờ y tế từ bệnh viện [1]. Do đó, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,"Câu trả lời trả lời trực tiếp và đầy đủ cho cả hai phần của câu hỏi, cung cấp thông tin rõ ràng về số ngày cần báo trước để xin nghỉ phép năm và so sánh với số ngày cần giấy tờ khi nghỉ ốm.",5,Retrieved: 1/1 expected sources,5,No reasoning provided,baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,Mọi thông tin trong answer đều có trong retrieved chunks,5,"Answer trả lời trực tiếp và đầy đủ câu hỏi, cung cấp thông tin về tần suất thay đổi mật khẩu, thời gian nhắc nhở và không thiếu chi tiết nào.",5,Retrieved: 1/1 expected sources,4,No reasoning provided,baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,"Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026, mà sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].",Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,Answer trả lời trực tiếp và đầy đủ câu hỏi.,5,Retrieved: 1/1 expected sources,4,No reasoning provided,baseline_dense
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ cho quy trình xử lý và khắc phục (resolution) trong phiên bản mới [2].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,Answer trả lời trực tiếp và đầy đủ câu hỏi về sự thay đổi SLA xử lý ticket P1.,5,Retrieved: 1/1 expected sources,4,No reasoning provided,variant_hybrid_rerank
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và được kết nối trên tối đa 2 thiết bị cùng lúc [2].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,Answer trả lời trực tiếp và đầy đủ câu hỏi,5,Retrieved: 2/2 expected sources,3,No reasoning provided,variant_hybrid_rerank
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt sẽ không được hoàn tiền [1].,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,Answer trả lời trực tiếp và đầy đủ câu hỏi về việc hoàn tiền cho đơn hàng trong chương trình Flash Sale.,5,Retrieved: 1/1 expected sources,4,No reasoning provided,variant_hybrid_rerank
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền hoàn [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,"Answer trả lời trực tiếp và đầy đủ câu hỏi, cung cấp thông tin chính xác về tỷ lệ store credit so với số tiền gốc.",5,Retrieved: 1/1 expected sources,5,No reasoning provided,variant_hybrid_rerank
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access. Quy trình yêu cầu cấp quyền bao gồm việc tạo Access Request ticket, phê duyệt từ Line Manager trong 1 ngày làm việc, và kiểm tra compliance bởi IT Admin. Thời gian cấp quyền có thể mất thêm thời gian cho các bước review từ IT Security [3][4].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,"Câu trả lời trả lời trực tiếp và đầy đủ câu hỏi về việc cấp quyền Admin Access cho contractor, bao gồm quy trình và thời gian cần thiết.",5,Retrieved: 1/1 expected sources,2,No reasoning provided,variant_hybrid_rerank
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau: 

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,"Câu trả lời cung cấp quy trình cụ thể cho việc cấp quyền tạm thời cho engineer trong sự cố P1, bao gồm thời gian tồn tại của quyền và yêu cầu ghi log, đáp ứng đầy đủ câu hỏi.",5,Retrieved: 2/2 expected sources,4,No reasoning provided,variant_hybrid_rerank
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"Câu trả lời không grounded, không có thông tin nào trong retrieved chunks để hỗ trợ cho câu trả lời này.",1,Câu trả lời không cung cấp thông tin nào liên quan đến mức phạt nếu team IT vi phạm cam kết SLA P1.,,No expected sources,1,No reasoning provided,variant_hybrid_rerank
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Đối với nghỉ ốm, cần thông báo trước 9:00 sáng ngày nghỉ và nếu nghỉ trên 3 ngày liên tiếp thì cần giấy tờ y tế [1]. Con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,"Câu trả lời trả lời trực tiếp và đầy đủ cho cả hai phần của câu hỏi, cung cấp thông tin rõ ràng về số ngày cần báo trước cho nghỉ phép năm và nghỉ ốm, cũng như sự khác biệt giữa chúng.",5,Retrieved: 1/1 expected sources,3,No reasoning provided,variant_hybrid_rerank
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu cần được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,Mọi thông tin trong answer đều có trong retrieved chunks,5,"Answer trả lời trực tiếp và đầy đủ câu hỏi về việc đổi mật khẩu định kỳ, thời gian nhắc nhở và tần suất thay đổi.",5,Retrieved: 1/1 expected sources,4,No reasoning provided,variant_hybrid_rerank
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,Mọi thông tin trong answer đều có trong retrieved chunks.,5,"Answer trả lời trực tiếp và đầy đủ câu hỏi, nêu rõ rằng chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026 và cung cấp thông tin về chính sách hoàn tiền phiên bản 3.",5,Retrieved: 1/1 expected sources,4,No reasoning provided,variant_hybrid_rerank
